IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0002,,,,,,0.000240603,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0002,,,,,,0.000242695,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0003,,,,,,0.000270309,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0003,,,,,,0.000270911,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0003,,,,,,0.000291746,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.0003,,,,,,0.000292981,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0003,,,,,,0.000303851,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.0004,,,,,,0.000359127,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.0004,,,,,,0.000387263,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.0004,,,,,,0.000392125,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0004,,,,,,0.000403184,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0004,,,,,,0.000427251,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0005,,,,,,0.000452405,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0005,,,,,,0.000456199,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0005,,,,,,0.000500575,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.0005,,,,,,0.000519621,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0005,,,,,,0.000519857,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0005,,,,,,0.000531391,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.0005,,,,,,0.000539653,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0005,,,,,,0.00054368,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0005,,,,,,0.000546068,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0006,,,,,,0.000550527,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0006,,,,,,0.000561401,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0006,,,,,,0.000601099,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.0006,,,,,,0.000609393,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.0007,,,,,,0.000663951,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0007,,,,,,0.000671788,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.0007,,,,,,0.000711011,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0007,,,,,,0.000736292,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0007,,,,,,0.000746585,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0008,,,,,,0.000773941,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.0008,,,,,,0.000776452,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0008,,,,,,0.00078615,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0009,,,,,,0.000851021,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.0009,,,,,,0.00088649,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.0009,,,,,,0.00088883,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.0009,,,,,,0.000936036,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.001,,,,,,0.000975438,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.001,,,,,,0.000978772,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.001,,,,,,0.00103036,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.001,,,,,,0.001031173,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.001,,,,,,0.001048975,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.001,,,,,,0.001135563,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.001,,,,,,0.001144541,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.001,,,,,,0.001163324,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,0.001,,,,,,0.001179843,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.001,,,,,,0.00119619,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.001,,,,,,0.001213115,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.001,,,,,,0.001235282,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.001,,,,,,0.001306754,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.001,,,,,,0.001315963,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.001,,,,,,0.001336134,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.001,,,,,,0.001350751,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,0.001,,,,,,0.001353161,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.001,,,,,,0.001455944,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.001,,,,,,0.001468317,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.001,,,,,,0.001473662,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.002,,,,,,0.001501944,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.002,,,,,,0.001515563,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.002,,,,,,0.001543011,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.002,,,,,,0.001607316,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,0.002,,,,,,0.001640416,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.002,,,,,,0.001648566,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,40-44 years,AGEGROUP_AGE40-44,,,,,,,0.002,,,,,,0.001672786,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.002,,,,,,0.001721077,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.002,,,,,,0.001732609,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.002,,,,,,0.00182739,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.002,,,,,,0.001867574,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.002,,,,,,0.001884005,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.002,,,,,,0.001931508,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-39 years,AGEGROUP_AGE35-39,,,,,,,0.002,,,,,,0.001941903,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EMR,Eastern Mediterranean,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.002,,,,,,0.001967893,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,45-49 years,AGEGROUP_AGE45-49,,,,,,,0.002,,,,,,0.001968541,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.002,,,,,,0.001995152,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Male,SEX_MLE,Age Group,20-24 years,AGEGROUP_AGE20-24,,,,,,,0.002,,,,,,0.002043437,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AFR,Africa,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-29 years,AGEGROUP_AGE25-29,,,,,,,0.002,,,,,,0.00210027,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.002,,,,,,0.002104695,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,SEAR,South-East Asia,Year,2019,true,Sex,Male,SEX_MLE,Age Group,30-34 years,AGEGROUP_AGE30-34,,,,,,,0.002,,,,,,0.002132551,,,EN,2020-12-06T05:00:00.000Z
